"編號",建議用字,音讀,又音,對應華語,用例,異用字
536,坉,thūn,,填入,"坉井、坉塗、坉本",填
537,智識,tì-sik,tì-sit,知識,"智識份子、無智識",知識
538,箸,tī,tīr、tū,筷子,碗箸、一雙箸,
539,佇,tī,tīr、tū,在,佇遮、有佇咧,
540,踮,tiàm,tàm,在、住,"我踮遮等你、恁兜踮佗位",
541,顛倒,tian-tò,,顛倒、反而,"顛倒反、顛倒好",
542,鼎,tiánn,,鍋子,大鼎、鼎鍋仔,鐤
543,埕,tiânn,,庭院、廣場,"頭前埕、運動埕",庭
544,定定,tiānn-tiānn,,常常、時常,"定定去、愛定定運動",
545,定定,tiānn-tiānn,,靜止不動,徛定定,
546,定著,tiānn-tio̍h,,"定、一定、安穩","已經講定著矣、明仔載定著會落雨、坐予伊定著",
547,牢,tiâu,,"欄圈、牢、附著、錄取","牛牢、掠予牢、黏牢、考牢大學",椆、稠
548,抌,tìm,,投、擲,抌石頭,
549,鎮位,tìn-uī,,佔地方,物件鎮位,
550,陣,tīn,,群,"一陣人、挨挨陣陣、陣頭",
551,頂,tíng,,頂、先前,"厝頂、一頂帽仔、頂擺",
552,亭仔跤,tîng-á-kha,,騎樓,"行亭仔跤較涼、佇亭仔跤覕雨","亭仔腳、亭仔骹"
553,𠕇,tīng,,硬,"𠕇柴、𠕇米、𠕇篤",橂
554,滇,tīnn,,滿、溢,傷滇、斟予滇,淀
555,趒,tiô,,彈跳、跳動,"趒跤頓蹄、驚一趒",
556,著,tio̍h,,"對、得、到、必須","毋著、著獎、看著、著愛",
557,中晝,tiong-tàu,,中午、午飯,"透中晝、食中晝",
558,得,tit,tsit/lit/eh/lih,得,"袂記得、袂比得",
559,張持,tiunn-tî,tionn-tî,小心、注意,無張持,
560,轉,tńg,tuínn,"轉變、返、旋轉、周轉","轉南風、見笑轉受氣、轉去、輪仔咧轉、支票小轉一下",返
561,頓,tǹg,tuìnn,"頓、蓋(章)、捶打、跌坐","顧三頓、頓印仔、頓椅頓桌、頓龜",
562,搪,tn̄g,,遇到,"搪著同學、拄搪",
563,都,to,,都,連一字都毋捌,
564,佗位,tó-uī,toh-uī,哪裡,"欲去佗位、學校佇佗位",叨位
565,倒,tò,,"傾倒、左邊、反向","倒掉、倒手、倒頭栽",
566,倒摔向,tò-siàng-hiànn,tò-siak-hiànn,向後摔倒,"跋一下倒摔向、坐無拄好倒摔向",
567,就,tō,"tio̍h/to̍h/tiō/tsiū",就......,按呢就著,著
568,著,to̍h,tio̍h,"著、點燃、點著、點亮","著火、電火點予著",𤏸
569,剁,tok,,剁,剁肉、剁斷,斵
570,啄龜,tok-ku,,打瞌睡,上課啄龜,
571,當做,tòng-tsò,tòng-tsuè,當做、當作,"食苦當做食補、共冊當做寶貝",
572,撞,tōng,,碰擊、撞,"撞球、撞著壁、撞一空",
573,杜蚓,tōo-kún,"tōo-ún、tōo-kín",蚯蚓,挖杜蚓,塗蚓
574,查某,tsa-bóo,,女人、女性,"查某囝、查某人",
575,昨昏,tsa-hng,tsa̍h-hng,昨天,伊昨昏無來,
576,查埔,tsa-poo,ta-poo,男子、男性,"查埔人、查埔囡仔","查甫、查夫"
577,紮,tsah,,攜帶,紮錢、紮便當,
578,閘,tsa̍h,,阻擋、閘,閘水、水閘仔,截
579,知,tsai,,知道,知影、知苦,
580,才調,tsâi-tiāu,,本事、能力,"有才調、無才調",
581,蹔,tsàm,,"踹、跺、用力踏","蹔予伊斷、蹔跤步",
582,站,tsām,,陣子,彼站、這站仔,
583,站節,tsām-tsat,,分寸,"有站節、無站節",暫節
584,欉,tsâng,,棵,"大欉樹仔、一欉玫瑰",叢
585,乍,tsànn,,汆燙、過油,乍白菜、乍油,
586,雜唸,tsa̍p-liām,tsau̍h-liām,嘮叨,伊真雜唸,雜念
587,節,tsat,,節、節制,"關節、小節一下",
588,實,tsa̍t,,"密實、滿、堵塞","實櫼、實捅捅、實鼻",
589,走,tsáu,,"跑、逃、賽跑","四界走、走路、走標",
590,走味,tsáu-bī,,失去原味,"這杯咖啡走味矣",
591,灶,tsàu,,灶,灶跤、灶頭,竈
592,這,tse,,這,這是啥,今、即
593,濟,tsē,tsuē、tserē,多,濟話、濟少,
594,鑿目,tsha̍k-ba̍k,,刺眼、礙眼,看了真鑿目,
595,摻,tsham,,摻、混合,"摻一寡糖、摻鹽",攙
596,參,tsham,,加入、和,"參加、我參你去",
597,草蜢仔,tsháu-meh-á,,蚱蜢,草蜢仔弄雞公,
598,冊,tsheh,,書,冊包、冊店,
599,青,tshenn,tshinn,綠、青,青色、青草,
600,生份,tshenn-hūn,"sinn-hūn、senn-hūn、tshinn-hūn",陌生、生疏,"驚生份、生份路","生分、青份、青分"
601,青盲,tshenn-mê,tshinn-mî,失明,"青盲牛、青盲雞",青瞑
602,刺毛蟲,"tshì-môo-thâng/tshì-moo-thâng",,毛毛蟲,"囡仔驚刺毛蟲、刺毛蟲會變尾蝶仔",
603,車,tshia,,車,計程車、車頭,
604,刺,tshiah,,"編織、繡、刺、縫製","刺膨紗、刺皮鞋、刺字",赤
605,攕,tshiám,,叉、串,攕仔、李仔攕,
606,唱聲,tshiàng-siann,,"大聲表達反對或不滿的意見、出言挑釁",共人唱聲,倡聲
607,倩,tshiànn,,聘僱、僱用,倩工人、倩車,
608,搜,tshiau,,"翻動搜尋、攪拌","搜物件、搜皮箱、搜紅毛塗",抄
609,撨,tshiâu,,"調整、協商、推拿、挪移","撨時鐘、撨價數、撨骨、撨徙位、人咧做天咧撨",
610,揤,tshih̍,jih̍,按、壓,"揤電鈴、揤予伊牢",
611,粟,tshik,,穀粒、稻穀,粟仔、粟鳥仔,
612,親像,tshin-tshiūnn,"tshan-tshiūnn、tshin-tshiōnn",好像、好比,"足親像、親像講......",
613,親情,tshin-tsiânn,,親戚,"親情五十、親情朋友",親成
614,凊彩,tshìn-tshái,,隨便、馬虎,"凊彩講、毋通凊彩",請裁
615,清氣,tshing-khì,,乾淨、清潔,"清氣相、愛清氣",
616,清芳,tshing-phang,,清香、芬芳,"花真清芳、春天花正清芳",
617,擤,tshìng,sǹg,擤,擤鼻,
618,穿,tshīng,,穿,穿衫、食穿,
619,鮮,tshinn,,新鮮,"鮮魚仔、肉有鮮",
620,笑咍咍,tshiò-hai-hai,,哈哈笑,聽一下笑咍咍,笑咳咳
621,拭,tshit,,擦、拭,拭喙、拭仔,
622,𨑨迌,tshit-thô,thit-thô,"玩耍、遊玩、遊蕩","好𨑨迌、出國𨑨迌、𨑨迌人","彳亍、佚陶、得桃、敕桃"
623,手電(仔),tshiú-tiān(-á),,手電筒,"用手電(仔)炤路",
624,吮,tshńg,tshuínn,"(用舌頭)剔出、(用鳥喙)梳理","吮魚頭、吮魚骨、鳥仔吮毛",
625,創,tshòng,,創、做,創業、創啥,
626,創治,tshòng-tī,,捉弄、欺負,"創治人、毋通共人創治",
627,趨,tshu,,斜、滑,趨趨、趨雪,趄
628,厝,tshù,,房子、宅,起厝、厝邊,茨、戍
629,跙,tshū,,滑,跙一倒、跙冰,
630,𤆬,tshuā,,"帶領、引導、照顧",𤆬頭、𤆬囡仔,
631,娶,tshuā,,迎娶,娶某、嫁娶,
632,疶,tshuah,,洩出,疶屎、疶尿,
633,礤,tshuah,,"刨、礤床兒(刨具)","礤番薯簽、礤冰、菜礤",攃
634,掣,tshuah,,快速拔除,掣毛、掣斷,
635,攢,tshuân,,準備,"物件攢好勢、攢便便",僎
636,扦,tshuann,,刺,竹扦、扦著,䉔
