118,好佳哉,hó-ka-tsài,,幸虧、幸好,真好佳哉,好嘉哉、好佳在,[sound:minnan700-118-好佳哉.mp3],[sound:minnan700-118-真好佳哉.mp3],,,,,閩南語
119,好勢,hó-sè,,妥當,講好勢、誠好勢,,[sound:minnan700-119-好勢.mp3],[sound:minnan700-119-講好勢.mp3],[sound:minnan700-119-誠好勢.mp3],,,,閩南語
120,風颱,hong-thai,,颱風,做風颱、風颱天,,[sound:minnan700-120-風颱.mp3],[sound:minnan700-120-做風颱.mp3],[sound:minnan700-120-風颱天.mp3],,,,閩南語
121,好,hònn,,喜好,好奇、好玄,,[sound:minnan700-121-好.mp3],[sound:minnan700-121-好奇.mp3],[sound:minnan700-121-好玄.mp3],,,,閩南語
122,胡蠅,hôo-sîn,,蒼蠅,拍胡蠅、趕胡蠅,葫蠅,[sound:minnan700-122-胡蠅.mp3],[sound:minnan700-122-拍胡蠅.mp3],[sound:minnan700-122-趕胡蠅.mp3],,,,閩南語
123,予,hōo,,給、被,予你、予人請,互,[sound:minnan700-123-予.mp3],[sound:minnan700-123-予你.mp3],[sound:minnan700-123-予人請.mp3],,,,閩南語
124,撫,hu,,撫摸,撫撫咧,,[sound:minnan700-124-撫.mp3],[sound:minnan700-124-撫撫咧.mp3],,,,,閩南語
125,拊,hú,,揉擦、(肉、魚)鬆,拊掉、拊仔、肉拊、拊魚拊,,[sound:minnan700-125-拊.mp3],[sound:minnan700-125-拊掉.mp3],[sound:minnan700-125-拊仔.mp3],[sound:minnan700-125-肉拊.mp3],[sound:minnan700-125-拊魚拊.mp3],,閩南語
126,喝,huah,,喊、叫,喝拳、大聲喝,,[sound:minnan700-126-喝.mp3],[sound:minnan700-126-喝拳.mp3],[sound:minnan700-126-大聲喝.mp3],,,,閩南語
127,橫直,huâinn-tı̍t,huînn-tı̍t,橫豎、反正,橫直攏仝款,,[sound:minnan700-127-橫直.mp3],[sound:minnan700-127-橫直攏仝款.mp3],,,,,閩南語
128,翻頭,huan-thâu,,回頭、隨後,翻頭隨無看見人、翻頭隨轉來,,[sound:minnan700-128-翻頭.mp3],[sound:minnan700-128-翻頭隨無看見人.mp3],[sound:minnan700-128-翻頭隨轉來.mp3],,,,閩南語
129,凡勢,huān-sè,,也許、可能、說不定,凡勢伊毋知、凡勢會落雨,犯勢,[sound:minnan700-129-凡勢.mp3],[sound:minnan700-129-凡勢伊毋知.mp3],[sound:minnan700-129-凡勢會落雨.mp3],,,,閩南語
130,法度,huat-tōo,,辦法,無法度,,[sound:minnan700-130-法度.mp3],[sound:minnan700-130-無法度.mp3],,,,,閩南語
131,花眉(仔),hue-bî(-á),hua-bî(-á),畫眉鳥,飼花眉仔,,[sound:minnan700-131-花眉(仔).mp3],[sound:minnan700-131-飼花眉仔.mp3],,,,,閩南語
132,費氣,huì-khì,,麻煩,有夠費氣、費氣費觸,,[sound:minnan700-132-費氣.mp3],[sound:minnan700-132-有夠費氣.mp3],[sound:minnan700-132-費氣費觸.mp3],,,,閩南語
133,瓷仔,huî-á,,陶瓷器,瓷仔碗、瓷仔工場,磁仔,[sound:minnan700-133-瓷仔.mp3],[sound:minnan700-133-瓷仔碗.mp3],[sound:minnan700-133-瓷仔工場.mp3],,,,閩南語
134,薰,hun,,香菸,食薰、薰草,,[sound:minnan700-134-薰.mp3],[sound:minnan700-134-食薰.mp3],[sound:minnan700-134-薰草.mp3],,,,閩南語
135,粉鳥,hún-tsiáu,,鴿子,飼粉鳥、放粉鳥,,[sound:minnan700-135-粉鳥.mp3],[sound:minnan700-135-飼粉鳥.mp3],[sound:minnan700-135-放粉鳥.mp3],,,,閩南語
136,份,hūn,,份,一份、認份,,[sound:minnan700-136-份.mp3],[sound:minnan700-136-一份.mp3],[sound:minnan700-136-認份.mp3],,,,閩南語
137,伊,i,,他、她,伊佮我、伊真媠,,[sound:minnan700-137-伊.mp3],[sound:minnan700-137-伊佮我.mp3],[sound:minnan700-137-伊真媠.mp3],,,,閩南語
138,椅條,í-liâu,í-tiâu,無靠背的長板凳,坐椅條,,[sound:minnan700-138-椅條.mp3],[sound:minnan700-138-坐椅條.mp3],,,,,閩南語
139,奕,ī,,玩,奕牌仔、奕珠仔,,[sound:minnan700-139-奕.mp3],[sound:minnan700-139-奕牌仔.mp3],[sound:minnan700-139-奕珠仔.mp3],,,,閩南語
140,也,iā,ā,也、亦,也是、也好,,[sound:minnan700-140-也.mp3],[sound:minnan700-140-也是.mp3],[sound:minnan700-140-也好.mp3],,,,閩南語
